USO2013,TU,month,temperature,rainfall,population,water_consumption
H2,DOMESTICO MEDIO,,37,95,37268,19.0
H1,DOMESTICO MEDIO,,37,12,47850,30.0
H3,DOMESTICO MEDIO,,23,4,11549,24.0
H2,DOMESTICO MEDIO,,33,77,45906,19.0
H2,DOMESTICO MEDIO,,22,77,41149,0.0
H3,DOMESTICO MEDIO,,33,33,15420,15.0
H3,DOMESTICO MEDIO,,21,63,29251,19.0
H3,DOMESTICO RESIDENCIAL,,28,96,42156,24.0
H3,DOMESTICO MEDIO,,30,3,27157,14.0
H3,DOMESTICO RESIDENCIAL,,27,82,15586,25.0
H1,DOMESTICO MEDIO,,22,18,46991,22.0
MX,DOMESTICO MEDIO,,26,10,44896,6.0
H3,DOMESTICO RESIDENCIAL,,26,90,49332,16.0
H3,DOMESTICO MEDIO,,26,59,11638,3.0
H3,DOMESTICO MEDIO,,23,50,15354,1.0
H3,DOMESTICO MEDIO,,23,9,28317,17.0
H3,DOMESTICO RESIDENCIAL,,22,15,28592,10.0
MX,DOMESTICO MEDIO,,37,13,32675,18.0
H3,DOMESTICO MEDIO,,37,56,30233,17.0
H3,DOMESTICO RESIDENCIAL,,34,98,49064,15.0
H3,DOMESTICO MEDIO,,20,93,26669,1.0
IRM,INDUSTRIAL,,34,33,47089,24.0
H2,DOMESTICO RESIDENCIAL,,37,98,40822,37.0
H3,DOMESTICO MEDIO,,24,39,34878,17.0
H3,DOMESTICO MEDIO,,39,21,27620,9.0
H2,DOMESTICO MEDIO,,26,88,38978,15.0
H2,DOMESTICO MEDIO,,30,35,21400,21.0
H3,DOMESTICO MEDIO,,21,55,16950,15.0
H3,DOMESTICO RESIDENCIAL,,28,53,16479,15.0
H2,DOMESTICO MEDIO,,22,71,28119,13.0
H3,DOMESTICO MEDIO,,29,47,16801,17.0
H3,DOMESTICO MEDIO,,25,70,42578,25.0
H3,DOMESTICO MEDIO,,29,1,15252,16.0
H3,DOMESTICO MEDIO,,30,92,16376,0.0
H2,DOMESTICO MEDIO,,29,0,36348,9.0
H3,DOMESTICO MEDIO,,36,70,43049,18.0
H3,DOMESTICO MEDIO,,31,99,49972,4.0
MX,DOMESTICO MEDIO,,38,9,35713,24.0
MX,COMERCIAL,,21,37,20393,8.0
MX,DOMESTICO MEDIO,,21,21,21945,6.0
H3,DOMESTICO MEDIO,,32,55,10906,9.0
H1,DOMESTICO MEDIO,,33,97,14332,34.0
H2,DOMESTICO MEDIO,,22,91,45918,26.0
H3,DOMESTICO MEDIO,,24,57,45862,10.0
H3,DOMESTICO MEDIO,,32,32,38451,9.0
H3,DOMESTICO MEDIO,,35,67,47358,7.0
H3,DOMESTICO RESIDENCIAL,,38,72,38373,10.0
H3,DOMESTICO RESIDENCIAL,,26,8,26574,18.0
H3,DOMESTICO MEDIO,,39,46,32895,20.0
H3,DOMESTICO MEDIO,,26,93,26014,11.0
H3,DOMESTICO RESIDENCIAL,,26,20,19927,19.0
MX,COMERCIAL,,31,47,13210,1.0
H3,DOMESTICO MEDIO,,31,22,30159,8.0
H3,DOMESTICO MEDIO,,20,69,28870,0.0
H3,DOMESTICO RESIDENCIAL,,32,92,30765,5.0
H1,DOMESTICO MEDIO,,25,95,10006,14.0
H3,DOMESTICO MEDIO,,37,38,33653,26.0
H3,DOMESTICO MEDIO,,37,36,26756,3.0
H3,DOMESTICO MEDIO,,36,10,26713,25.0
H3,DOMESTICO MEDIO,,28,47,14651,3.0
H2,DOMESTICO MEDIO,,24,54,24949,21.0
MX,DOMESTICO MEDIO,,33,32,35663,21.0
MX,COMERCIAL,,25,77,20754,33.0
H3,DOMESTICO MEDIO,,33,60,44550,20.0
MX,DOMESTICO MEDIO,,25,70,43071,21.0
H3,DOMESTICO MEDIO,,34,89,47327,16.0
H1,DOMESTICO BAJA,,27,36,24997,2.0
H2,DOMESTICO MEDIO,,37,25,37676,0.0
MX,DOMESTICO RESIDENCIAL,,35,6,34835,26.0
H3,DOMESTICO RESIDENCIAL,,37,31,21802,19.0
H2,DOMESTICO MEDIO,,22,37,45381,17.0
H2,DOMESTICO MEDIO,,34,21,43383,34.0
H3,DOMESTICO MEDIO,,35,38,24022,13.0
H3,DOMESTICO RESIDENCIAL,,22,50,41011,10.0
H3,DOMESTICO MEDIO,,20,32,11531,10.0
H1,DOMESTICO MEDIO,,29,9,39747,28.0
H2,DOMESTICO MEDIO,,34,55,43087,15.0
H3,SOCIAL,,33,77,42857,20.0
H3,DOMESTICO RESIDENCIAL,,20,30,19534,0.0
H3,DOMESTICO MEDIO,,22,30,27997,30.0
H2,DOMESTICO MEDIO,,36,8,18868,0.0
H3,DOMESTICO MEDIO,,35,19,46712,11.0
H2,DOMESTICO MEDIO,,37,74,29857,32.0
H1,DOMESTICO MEDIO,,27,49,21994,20.0
H3,DOMESTICO MEDIO,,39,88,49656,22.0
H3,DOMESTICO MEDIO,,27,83,48997,9.0
MX,DOMESTICO MEDIO,,30,56,48330,10.0
H1,DOMESTICO MEDIO,,37,94,33993,24.0
H3,DOMESTICO MEDIO,,30,28,35460,5.0
H2,DOMESTICO MEDIO,,30,33,49413,17.0
H3,DOMESTICO MEDIO,,38,20,45444,23.0
H2,DOMESTICO MEDIO,,31,68,41298,11.0
H2,DOMESTICO MEDIO,,24,52,16828,6.0
H3,DOMESTICO RESIDENCIAL,,24,39,26995,6.0
H3,DOMESTICO MEDIO,,23,60,22915,19.0
H3,DOMESTICO RESIDENCIAL,,35,85,42998,24.0
H2,DOMESTICO MEDIO,,29,82,11713,22.0
H3,DOMESTICO RESIDENCIAL,,33,68,36976,8.0
H2,DOMESTICO MEDIO,,39,46,28177,9.0
MX,COMERCIAL,,36,31,13975,0.0
H3,DOMESTICO MEDIO,,23,14,21606,16.0
MX,DOMESTICO MEDIO,,22,35,20035,19.0
H3,DOMESTICO RESIDENCIAL,,25,75,42800,16.0
H2,SOCIAL,,22,74,19087,20.0
H3,DOMESTICO RESIDENCIAL,,32,85,10036,7.0
MX,DOMESTICO MEDIO,,26,50,17666,17.0
H3,DOMESTICO RESIDENCIAL,,26,39,29061,16.0
H3,DOMESTICO RESIDENCIAL,,23,32,40944,22.0
H2,DOMESTICO MEDIO,,25,21,26741,12.0
MX,DOMESTICO MEDIO,,32,27,39401,16.0
H1,DOMESTICO MEDIO,,31,47,32811,31.0
H2,DOMESTICO MEDIO,,38,58,44288,0.0
H3,DOMESTICO RESIDENCIAL,,25,39,32056,14.0
H3,DOMESTICO MEDIO,,34,95,49659,11.0
H2,DOMESTICO MEDIO,,35,7,28681,21.0
H1,DOMESTICO MEDIO,,26,3,23884,27.0
H3,SOCIAL,,21,94,40254,18.0
H2,DOMESTICO MEDIO,,29,19,30390,0.0
MX,COMERCIAL,,35,74,33500,13.0
H3,COMERCIAL,,38,97,39771,0.0
H3,DOMESTICO MEDIO,,24,97,25624,33.0
H3,DOMESTICO RESIDENCIAL,,22,55,30462,15.0
H2,DOMESTICO MEDIO,,33,93,49375,13.0
H3,DOMESTICO MEDIO,,24,5,28882,10.0
H3,DOMESTICO MEDIO,,25,46,42458,18.0
H3,DOMESTICO MEDIO,,33,27,18338,18.0
H3,DOMESTICO RESIDENCIAL,,29,93,44891,30.0
H2,DOMESTICO MEDIO,,28,3,19689,21.0
H2,DOMESTICO MEDIO,,34,37,21577,26.0
H3,DOMESTICO RESIDENCIAL,,32,90,29188,9.0
H2,DOMESTICO MEDIO,,39,27,45073,2.0
H2,DOMESTICO MEDIO,,27,27,12536,11.0
H2,DOMESTICO MEDIO,,39,75,31902,20.0
H3,DOMESTICO MEDIO,,28,60,13065,21.0
H3,DOMESTICO BAJA,,37,96,45388,14.0
MX,DOMESTICO MEDIO,,36,40,46144,18.0
H3,DOMESTICO MEDIO,,29,52,39814,20.0
H1,DOMESTICO MEDIO,,28,83,46415,10.0
H3,DOMESTICO RESIDENCIAL,,35,53,30669,13.0
H2,DOMESTICO MEDIO,,26,46,20303,18.0
H1,DOMESTICO MEDIO,,39,52,26390,10.0
H3,DOMESTICO MEDIO,,26,69,20636,20.0
H3,DOMESTICO MEDIO,,26,35,13205,22.0
H3,DOMESTICO MEDIO,,21,35,36679,6.0
H2,DOMESTICO MEDIO,,23,93,17124,12.0
MX,DOMESTICO MEDIO,,36,8,34136,24.0
H3,DOMESTICO MEDIO,,31,9,46263,23.0
H3,DOMESTICO RESIDENCIAL,,25,45,15119,14.0
MX,COMERCIAL,,38,55,21563,5.0
MX,COMERCIAL,,39,68,24849,2.0
H3,DOMESTICO MEDIO,,22,75,42718,2.0
MX,DOMESTICO MEDIO,,23,20,39549,18.0
H3,DOMESTICO MEDIO,,23,74,31681,22.0
H2,DOMESTICO MEDIO,,29,47,43495,13.0
H3,DOMESTICO MEDIO,,39,74,37598,9.0
H3,DOMESTICO MEDIO,,33,43,19558,11.0
H2,DOMESTICO MEDIO,,26,25,36285,15.0
H3,DOMESTICO MEDIO,,34,56,39920,21.0
H3,DOMESTICO RESIDENCIAL,,29,4,45951,15.0
H3,DOMESTICO RESIDENCIAL,,30,64,22167,78.0
H2,DOMESTICO MEDIO,,38,65,29111,17.0
H3,DOMESTICO MEDIO,,28,73,43367,15.0
H2,DOMESTICO MEDIO,,22,97,14844,37.0
H3,DOMESTICO BAJA,,22,94,20654,22.0
MX,DOMESTICO MEDIO,,22,35,23220,26.0
H2,DOMESTICO MEDIO,,32,24,18070,14.0
H3,SOCIAL,,28,76,22248,8.0
MX,DOMESTICO MEDIO,,21,32,10222,12.0
H2,DOMESTICO MEDIO,,30,35,33865,21.0
H2,DOMESTICO MEDIO,,28,11,19140,0.0
H1,DOMESTICO RESIDENCIAL,,30,51,15216,3.0
H2,SOCIAL,,39,37,43729,13.0
H3,DOMESTICO MEDIO,,33,93,38590,18.0
H3,DOMESTICO RESIDENCIAL,,38,73,35288,11.0
H2,DOMESTICO MEDIO,,27,11,20145,32.0
H2,DOMESTICO MEDIO,,23,42,25986,14.0
H2,DOMESTICO MEDIO,,31,28,42151,21.0
H3,DOMESTICO MEDIO,,27,0,19173,2.0
H2,DOMESTICO RESIDENCIAL,,28,91,16345,44.0
H3,DOMESTICO MEDIO,,38,30,34294,15.0
H3,DOMESTICO MEDIO,,30,28,34069,9.0
MX,DOMESTICO MEDIO,,30,10,23679,5.0
MX,DOMESTICO MEDIO,,20,43,43607,30.0
H3,DOMESTICO RESIDENCIAL,,26,11,39517,8.0
H3,DOMESTICO MEDIO,,32,4,34500,5.0
H3,DOMESTICO MEDIO,,20,45,20323,13.0
H2,DOMESTICO MEDIO,,29,34,21747,8.0
H2,DOMESTICO MEDIO,,34,94,30749,20.0
H3,DOMESTICO MEDIO,,39,29,13909,13.0
MX,SOCIAL,,20,87,13546,22.0
H3,DOMESTICO MEDIO,,27,21,30508,22.0
H2,DOMESTICO MEDIO,,30,69,14734,22.0
H1,DOMESTICO MEDIO,,23,89,19034,24.0
H2,DOMESTICO RESIDENCIAL,,31,2,41123,1.0
H3,DOMESTICO MEDIO,,26,86,39740,20.0
H2,SOCIAL,,25,85,25016,28.0
H2,DOMESTICO MEDIO,,38,5,29791,10.0
H3,DOMESTICO MEDIO,,35,28,48428,18.0
H3,DOMESTICO MEDIO,,31,82,28935,16.0
H3,DOMESTICO MEDIO,,22,35,21960,32.0
H3,DOMESTICO MEDIO,,27,99,34930,20.0
MX,COMERCIAL,,20,20,45946,155.0
H3,DOMESTICO RESIDENCIAL,,23,5,21131,21.0
H3,DOMESTICO RESIDENCIAL,,28,26,14608,20.0
H3,DOMESTICO RESIDENCIAL,,35,98,40766,15.0
H3,DOMESTICO RESIDENCIAL,,37,99,38875,14.0
H3,DOMESTICO MEDIO,,22,54,36886,2.0
H3,DOMESTICO MEDIO,,27,42,45702,23.0
H2,DOMESTICO MEDIO,,39,72,39948,20.0
H3,DOMESTICO MEDIO,,32,35,30220,10.0
H3,DOMESTICO MEDIO,,36,78,11351,10.0
H3,DOMESTICO MEDIO,,26,83,28150,16.0
H2,DOMESTICO MEDIO,,30,60,15650,28.0
H3,DOMESTICO MEDIO,,22,61,45827,15.0
H2,DOMESTICO MEDIO,,36,68,34306,11.0
MX,DOMESTICO MEDIO,,33,75,40399,17.0
H2,DOMESTICO MEDIO,,25,67,14942,23.0
H3,DOMESTICO RESIDENCIAL,,34,13,27074,0.0
H2,DOMESTICO MEDIO,,21,99,20434,0.0
H3,DOMESTICO MEDIO,,20,83,22555,11.0
H3,DOMESTICO MEDIO,,21,44,40959,4.0
MX,DOMESTICO MEDIO,,20,9,11071,21.0
H3,DOMESTICO MEDIO,,29,89,12889,0.0
H3,DOMESTICO MEDIO,,31,21,12593,17.0
H3,DOMESTICO MEDIO,,24,59,36236,36.0
H3,DOMESTICO MEDIO,,35,22,36617,20.0
MX,DOMESTICO MEDIO,,26,7,19283,49.0
H3,DOMESTICO RESIDENCIAL,,20,4,11782,16.0
H3,COMERCIAL,,30,5,15040,1292.0
H3,DOMESTICO RESIDENCIAL,,39,58,41649,7.0
H3,DOMESTICO MEDIO,,36,37,12928,19.0
H2,DOMESTICO MEDIO,,35,5,42365,25.0
H2,DOMESTICO MEDIO,,26,65,27550,11.0
H3,DOMESTICO MEDIO,,36,52,23687,19.0
H3,DOMESTICO MEDIO,,32,79,10305,12.0
H2,DOMESTICO RESIDENCIAL,,24,21,33035,0.0
H2,SOCIAL,,24,13,20340,19.0
H2,DOMESTICO MEDIO,,31,50,10069,25.0
H3,DOMESTICO MEDIO,,23,62,42811,19.0
H3,DOMESTICO MEDIO,,28,50,33284,26.0
H3,COMERCIAL,,28,2,15515,2388.0
H3,DOMESTICO MEDIO,,27,51,12849,18.0
MX,SOCIAL,,23,3,21809,17.0
H3,DOMESTICO MEDIO,,25,42,43195,16.0
H3,DOMESTICO BAJA,,21,16,10158,5.0
H3,DOMESTICO MEDIO,,23,22,30397,7.0
H3,DOMESTICO RESIDENCIAL,,25,16,39024,0.0
H3,DOMESTICO MEDIO,,36,81,26494,10.0
H3,DOMESTICO MEDIO,,22,96,34716,7.0
H2,SOCIAL,,25,52,25433,8.0
H2,DOMESTICO RESIDENCIAL,,22,90,35303,38.0
H3,DOMESTICO MEDIO,,37,77,28844,19.0
H1,DOMESTICO MEDIO,,23,60,30791,32.0
H3,DOMESTICO MEDIO,,38,81,11491,13.0
H2,DOMESTICO MEDIO,,30,84,20499,15.0
H3,DOMESTICO MEDIO,,31,24,12387,15.0
H3,DOMESTICO MEDIO,,37,98,34254,8.0
H2,DOMESTICO MEDIO,,35,73,29127,12.0
CU,DOMESTICO MEDIO,,38,32,37131,19.0
MX,DOMESTICO MEDIO,,23,60,36773,18.0
H3,DOMESTICO RESIDENCIAL,,26,42,37330,20.0
H3,SOCIAL,,20,88,46755,28.0
H2,DOMESTICO MEDIO,,32,67,40250,15.0
H3,DOMESTICO MEDIO,,37,26,25374,0.0
H3,DOMESTICO MEDIO,,33,70,38422,17.0
H3,DOMESTICO RESIDENCIAL,,30,2,18565,17.0
H1,DOMESTICO MEDIO,,26,30,28591,25.0
MX,DOMESTICO MEDIO,,29,86,34918,22.0
H2,DOMESTICO MEDIO,,29,15,49984,11.0
H3,DOMESTICO MEDIO,,31,97,42233,30.0
H2,DOMESTICO MEDIO,,23,49,42548,21.0
MX,DOMESTICO MEDIO,,39,7,20445,22.0
H1,DOMESTICO RESIDENCIAL,,32,58,40220,24.0
H3,COMERCIAL,,30,60,40844,3594.0
MX,DOMESTICO MEDIO,,32,63,15295,23.0
H3,COMERCIAL,,25,47,43833,4937.0
H2,DOMESTICO MEDIO,,34,99,44074,20.0
H2,DOMESTICO MEDIO,,28,20,23880,27.0
H2,DOMESTICO MEDIO,,21,45,27302,21.0
H3,DOMESTICO MEDIO,,22,43,41883,16.0
H3,DOMESTICO MEDIO,,25,37,25644,18.0
H3,DOMESTICO RESIDENCIAL,,35,95,49904,7.0
MX,DOMESTICO MEDIO,,26,71,22137,19.0
H2,COMERCIAL,,26,70,28442,6.0
MX,DOMESTICO MEDIO,,29,38,30808,24.0
H2,DOMESTICO MEDIO,,38,20,30404,16.0
H2,DOMESTICO MEDIO,,27,15,33445,2.0
H2,DOMESTICO MEDIO,,38,22,39105,25.0
H2,DOMESTICO MEDIO,,28,25,47132,20.0
H2,DOMESTICO MEDIO,,34,80,18835,0.0
MX,DOMESTICO MEDIO,,29,3,17535,16.0
H3,DOMESTICO MEDIO,,31,49,14516,4.0
H2,DOMESTICO MEDIO,,28,43,35721,0.0
H2,SOCIAL,,37,93,18883,24.0
H2,DOMESTICO MEDIO,,24,53,13061,40.0
H3,DOMESTICO MEDIO,,37,16,24528,15.0
H3,DOMESTICO MEDIO,,29,77,33242,6.0
H3,DOMESTICO MEDIO,,33,43,39101,19.0
H2,DOMESTICO MEDIO,,29,68,28754,19.0
H3,DOMESTICO MEDIO,,27,5,43151,22.0
H3,DOMESTICO MEDIO,,35,28,12841,13.0
H2,DOMESTICO MEDIO,,33,34,48714,25.0
H3,DOMESTICO MEDIO,,30,96,46426,6.0
H3,DOMESTICO MEDIO,,35,95,33712,17.0
H2,DOMESTICO MEDIO,,28,57,42850,21.0
H3,DOMESTICO RESIDENCIAL,,33,61,34231,17.0
H2,DOMESTICO MEDIO,,27,79,12126,18.0
H3,COMERCIAL,,28,53,15280,4937.0
H2,DOMESTICO RESIDENCIAL,,24,80,39748,7.0
H2,DOMESTICO MEDIO,,25,84,11861,15.0
H3,DOMESTICO MEDIO,,23,15,15260,23.0
H2,DOMESTICO MEDIO,,35,25,13087,27.0
H2,DOMESTICO MEDIO,,36,21,19856,20.0
H2,DOMESTICO MEDIO,,24,22,10431,15.0
H1,DOMESTICO MEDIO,,21,4,20523,17.0
H2,SOCIAL,,35,88,38672,11.0
H3,DOMESTICO MEDIO,,27,80,10144,20.0
H3,DOMESTICO MEDIO,,23,39,29906,8.0
H2,DOMESTICO MEDIO,,25,3,11868,18.0
H1,DOMESTICO MEDIO,,20,18,13438,10.0
H3,DOMESTICO MEDIO,,32,3,35464,24.0
H2,DOMESTICO MEDIO,,37,72,22093,14.0
H3,DOMESTICO MEDIO,,33,2,21566,16.0
H2,DOMESTICO MEDIO,,25,19,25114,18.0
H3,DOMESTICO MEDIO,,31,15,12236,7.0
H3,DOMESTICO MEDIO,,20,7,45399,10.0
MX,INDUSTRIAL,,34,47,14051,23.0
H3,DOMESTICO MEDIO,,32,9,11992,22.0
H3,DOMESTICO MEDIO,,22,18,38828,10.0
H3,DOMESTICO MEDIO,,33,84,37057,0.0
H2,DOMESTICO MEDIO,,28,47,23686,46.0
H1,DOMESTICO MEDIO,,20,45,17145,28.0
H3,DOMESTICO RESIDENCIAL,,33,52,28286,17.0
H2,DOMESTICO MEDIO,,37,89,35792,22.0
H3,DOMESTICO MEDIO,,32,30,18119,15.0
H2,DOMESTICO MEDIO,,22,9,49169,22.0
H2,DOMESTICO MEDIO,,34,18,19139,12.0
H3,DOMESTICO MEDIO,,31,23,15440,18.0
H3,DOMESTICO MEDIO,,33,92,20365,24.0
H2,DOMESTICO MEDIO,,33,11,42079,21.0
H2,DOMESTICO RESIDENCIAL,,35,54,49350,1.0
H3,DOMESTICO MEDIO,,29,71,13847,14.0
MX,DOMESTICO MEDIO,,37,3,41901,20.0
H3,DOMESTICO MEDIO,,30,10,10833,8.0
MX,SOCIAL,,36,42,17526,30.0
H1,DOMESTICO MEDIO,,39,30,37984,27.0
H3,DOMESTICO MEDIO,,23,4,33503,0.0
H3,DOMESTICO MEDIO,,31,30,16271,10.0
MX,COMERCIAL,,25,12,36009,4.0
H1,DOMESTICO RESIDENCIAL,,38,18,38748,14.0
H3,DOMESTICO MEDIO,,21,94,20935,9.0
H2,DOMESTICO MEDIO,,29,92,21465,18.0
H3,DOMESTICO MEDIO,,32,1,32645,7.0
H3,DOMESTICO MEDIO,,37,11,40508,6.0
H3,DOMESTICO MEDIO,,25,4,31456,5.0
H2,DOMESTICO MEDIO,,20,53,32196,27.0
H2,DOMESTICO MEDIO,,26,39,25057,13.0
MX,DOMESTICO MEDIO,,22,72,34277,14.0
H2,DOMESTICO MEDIO,,30,26,49998,13.0
H3,DOMESTICO MEDIO,,25,8,10723,8.0
H3,DOMESTICO MEDIO,,38,52,25082,16.0
H2,DOMESTICO MEDIO,,24,46,47032,10.0
H1,DOMESTICO MEDIO,,29,72,48662,28.0
H2,DOMESTICO MEDIO,,32,65,10747,9.0
H2,DOMESTICO MEDIO,,24,21,48566,0.0
H3,DOMESTICO MEDIO,,24,24,34527,19.0
H3,DOMESTICO RESIDENCIAL,,26,74,37935,0.0
H3,DOMESTICO RESIDENCIAL,,26,93,16488,18.0
H1,SOCIAL,,29,83,32129,27.0
H3,DOMESTICO RESIDENCIAL,,24,45,27782,16.0
H2,DOMESTICO MEDIO,,32,15,43356,6.0
H3,DOMESTICO MEDIO,,25,4,29386,17.0
H2,DOMESTICO RESIDENCIAL,,32,63,32304,4.0
H3,COMERCIAL,,31,26,25106,860.0
H3,DOMESTICO MEDIO,,31,95,26165,18.0
H2,DOMESTICO MEDIO,,34,12,22182,22.0
H3,DOMESTICO MEDIO,,39,11,48361,13.0
H2,DOMESTICO MEDIO,,21,93,43581,30.0
H3,DOMESTICO MEDIO,,25,48,10168,16.0
H3,DOMESTICO MEDIO,,39,81,48893,0.0
H3,DOMESTICO MEDIO,,34,96,35841,30.0
MX,COMERCIAL,,24,61,35618,20.0
MX,DOMESTICO MEDIO,,37,65,33030,13.0
H2,DOMESTICO MEDIO,,31,71,48743,2.0
H3,DOMESTICO MEDIO,,28,79,46657,16.0
H3,DOMESTICO MEDIO,,30,58,34269,24.0
H2,DOMESTICO MEDIO,,29,46,29055,5.0
H3,SOCIAL,,30,75,48049,16.0
H2,DOMESTICO MEDIO,,32,5,29325,0.0
H3,DOMESTICO MEDIO,,22,23,34836,2.0
H3,DOMESTICO MEDIO,,31,10,35856,22.0
H2,DOMESTICO MEDIO,,26,45,48271,10.0
H3,DOMESTICO MEDIO,,39,97,48515,15.0
H2,DOMESTICO MEDIO,,32,14,26765,10.0
H2,DOMESTICO MEDIO,,22,13,17466,21.0
H2,DOMESTICO MEDIO,,30,72,43604,30.0
H3,DOMESTICO MEDIO,,33,68,14195,3.0
H3,DOMESTICO RESIDENCIAL,,24,25,41410,25.0
H2,DOMESTICO MEDIO,,27,82,19774,15.0
H2,DOMESTICO BAJA,,30,81,33148,26.0
H2,DOMESTICO MEDIO,,36,79,47871,18.0
H3,DOMESTICO RESIDENCIAL,,21,65,33440,15.0
H2,DOMESTICO MEDIO,,30,10,32363,9.0
H3,DOMESTICO MEDIO,,30,20,13174,16.0
H1,SOCIAL,,36,38,33092,19.0
H3,DOMESTICO MEDIO,,32,5,27131,20.0
H3,DOMESTICO RESIDENCIAL,,25,34,30850,15.0
H3,DOMESTICO RESIDENCIAL,,28,98,48031,14.0
H2,DOMESTICO MEDIO,,35,75,46386,11.0
H2,DOMESTICO MEDIO,,24,18,38214,37.0
H2,DOMESTICO MEDIO,,38,61,12288,11.0
H2,COMERCIAL,,32,76,14257,7.0
H3,DOMESTICO RESIDENCIAL,,30,2,25621,14.0
H2,DOMESTICO MEDIO,,22,48,18466,22.0
H3,DOMESTICO RESIDENCIAL,,21,37,17752,2.0
H2,SOCIAL,,24,83,12055,0.0
H3,DOMESTICO MEDIO,,26,45,28636,20.0
H1,DOMESTICO MEDIO,,29,3,13193,24.0
H2,DOMESTICO MEDIO,,23,33,21308,4.0
H3,DOMESTICO MEDIO,,39,68,30181,13.0
H3,DOMESTICO RESIDENCIAL,,20,96,31209,24.0
H3,DOMESTICO MEDIO,,24,5,17527,13.0
MX,DOMESTICO MEDIO,,32,59,19098,17.0
H1,DOMESTICO MEDIO,,20,50,25569,33.0
MX,DOMESTICO MEDIO,,21,77,16786,30.0
H3,DOMESTICO MEDIO,,28,55,24285,9.0
MX,DOMESTICO MEDIO,,26,70,24509,33.0
H3,SOCIAL,,22,42,41594,15.0
H3,DOMESTICO BAJA,,38,76,48037,9.0
H3,DOMESTICO RESIDENCIAL,,29,78,13862,16.0
H3,DOMESTICO MEDIO,,31,16,44626,8.0
H1,DOMESTICO MEDIO,,29,63,30158,25.0
H2,DOMESTICO BAJA,,24,77,47470,10.0
H2,DOMESTICO MEDIO,,26,97,37538,19.0
H3,DOMESTICO RESIDENCIAL,,20,92,42697,9.0
H3,DOMESTICO MEDIO,,38,89,12589,21.0
H3,DOMESTICO MEDIO,,38,91,17119,14.0
H3,DOMESTICO MEDIO,,37,87,30267,30.0
H3,DOMESTICO RESIDENCIAL,,22,50,24992,19.0
H3,DOMESTICO RESIDENCIAL,,34,48,43989,23.0
H3,DOMESTICO RESIDENCIAL,,24,11,46293,26.0
H2,DOMESTICO MEDIO,,31,92,35586,15.0
H2,DOMESTICO BAJA,,35,90,49110,23.0
H2,DOMESTICO RESIDENCIAL,,26,65,20156,12.0
H2,DOMESTICO MEDIO,,20,25,15246,11.0
H2,DOMESTICO MEDIO,,32,16,43971,30.0
H3,COMERCIAL,,21,9,19522,860.0
H1,DOMESTICO BAJA,,36,21,20280,10.0
H2,DOMESTICO RESIDENCIAL,,26,91,43061,25.0
H3,DOMESTICO MEDIO,,21,6,32114,18.0
H2,DOMESTICO MEDIO,,32,15,29160,24.0
H3,DOMESTICO MEDIO,,31,93,12315,0.0
H3,DOMESTICO MEDIO,,21,8,40770,16.0
H3,DOMESTICO MEDIO,,30,91,14358,0.0
H3,DOMESTICO MEDIO,,29,72,12428,10.0
H2,DOMESTICO MEDIO,,33,31,46730,19.0
H2,DOMESTICO MEDIO,,27,11,43519,24.0
MX,COMERCIAL,,29,48,28692,10.0
H1,DOMESTICO MEDIO,,30,73,17679,3.0
H2,DOMESTICO MEDIO,,27,61,33728,4.0
H3,DOMESTICO BAJA,,20,4,38595,5.0
H2,DOMESTICO MEDIO,,36,34,16699,14.0
MX,DOMESTICO MEDIO,,24,44,33861,25.0
H3,DOMESTICO MEDIO,,39,95,45707,20.0
H2,DOMESTICO MEDIO,,32,26,45741,21.0
H3,DOMESTICO MEDIO,,30,44,29507,23.0
H3,DOMESTICO MEDIO,,34,0,36828,15.0
H2,SOCIAL,,35,0,19280,8.0
H2,DOMESTICO BAJA,,24,19,14826,16.0
H2,DOMESTICO MEDIO,,28,44,32799,21.0
MX,COMERCIAL,,39,61,16617,14.0
H2,COMERCIAL,,33,53,44710,10.0
H3,DOMESTICO MEDIO,,29,65,29058,29.0
H3,DOMESTICO MEDIO,,30,40,40542,8.0
H3,DOMESTICO MEDIO,,21,35,42846,18.0
MX,DOMESTICO MEDIO,,28,18,34235,28.0
H2,DOMESTICO MEDIO,,33,83,10892,23.0
H3,DOMESTICO MEDIO,,34,21,45680,10.0
H2,DOMESTICO MEDIO,,36,94,13963,10.0
H3,DOMESTICO MEDIO,,23,9,34347,11.0
H3,DOMESTICO MEDIO,,29,62,21014,23.0
H1,DOMESTICO MEDIO,,37,67,43252,3.0
H2,COMERCIAL,,38,70,20987,2.0
H3,DOMESTICO MEDIO,,36,43,11370,9.0
H3,DOMESTICO MEDIO,,25,26,28237,17.0
H2,DOMESTICO MEDIO,,37,31,22836,20.0
H3,DOMESTICO MEDIO,,21,29,15982,3.0
H3,DOMESTICO MEDIO,,26,53,43234,1.0
H3,DOMESTICO RESIDENCIAL,,31,40,10671,30.0
MX,DOMESTICO MEDIO,,36,73,27047,18.0
H3,DOMESTICO RESIDENCIAL,,27,7,14077,14.0
H2,DOMESTICO MEDIO,,28,40,41461,21.0
H3,DOMESTICO MEDIO,,31,6,46802,12.0
H2,DOMESTICO MEDIO,,23,5,22178,4.0
H3,DOMESTICO RESIDENCIAL,,35,31,13992,17.0
H3,DOMESTICO RESIDENCIAL,,27,29,29621,15.0
H2,DOMESTICO MEDIO,,34,1,30900,15.0
